MovieID	original_language	original_title	popularity	title	vote_average	vote_count
862	en	Toy Story	22	Toy Story	7.7	5415
8844	en	Jumanji	17	Jumanji	6.9	2413
15602	en	Grumpier Old Men	12	Grumpier Old Men	6.5	92
31357	en	Waiting to Exhale	4	Waiting to Exhale	6.1	34
11862	en	Father of the Bride Part II	8	Father of the Bride Part II	5.7	173
949	en	Heat	18	Heat	7.7	1886
11860	en	Sabrina	7	Sabrina	6.2	141
45325	en	Tom and Huck	3	Tom and Huck	5.4	45
9091	en	Sudden Death	5	Sudden Death	5.5	174
710	en	GoldenEye	15	GoldenEye	6.6	1194
9087	en	The American President	6	The American President	6.5	199
12110	en	Dracula: Dead and Loving It	5	Dracula: Dead and Loving It	5.7	210
21032	en	Balto	12	Balto	7.1	423
10858	en	Nixon	5	Nixon	7.1	72
1408	en	Cutthroat Island	7	Cutthroat Island	5.7	137
524	en	Casino	10	Casino	7.8	1343
4584	en	Sense and Sensibility	11	Sense and Sensibility	7.2	364
5	en	Four Rooms	9	Four Rooms	6.5	539
9273	en	Ace Ventura: When Nature Calls	8	Ace Ventura: When Nature Calls	6.1	1128
11517	en	Money Train	7	Money Train	5.4	224
8012	en	Get Shorty	13	Get Shorty	6.4	305
1710	en	Copycat	11	Copycat	6.5	199
9691	en	Assassins	11	Assassins	6	394
12665	en	Powder	12	Powder	6.3	143
451	en	Leaving Las Vegas	10	Leaving Las Vegas	7.1	365
16420	en	Othello	2	Othello	7	33
9263	en	Now and Then	9	Now and Then	6.6	91
17015	en	Persuasion	2	Persuasion	7.4	36
902	fr	La Cité des Enfants Perdus	10	The City of Lost Children	7.6	308
37557	zh	摇啊摇，摇到外婆桥	1	Shanghai Triad	6.5	17
9909	en	Dangerous Minds	9	Dangerous Minds	6.4	249
63	en	Twelve Monkeys	12	Twelve Monkeys	7.4	2470
78802	fr	"Guillaumet, les ailes du courage"	1	Wings of Courage	6.8	4
9598	en	Babe	14	Babe	6	756
47018	en	Carrington	1	Carrington	6.4	16
687	en	Dead Man Walking	7	Dead Man Walking	7.3	350
139405	en	Across the Sea of Time	0	Across the Sea of Time	3.5	2
33689	en	It Takes Two	8	It Takes Two	6.1	149
9603	en	Clueless	10	Clueless	6.9	828
34615	en	"Cry, the Beloved Country"	1	"Cry, the Beloved Country"	6.7	13
31174	en	Richard III	5	Richard III	6.9	50
11443	en	Dead Presidents	10	Dead Presidents	6.6	80
35196	en	Restoration	11	Restoration	6.3	30
9312	en	Mortal Kombat	11	Mortal Kombat	5.4	452
577	en	To Die For	10	To Die For	6.7	177
11861	en	How To Make An American Quilt	4	How To Make An American Quilt	6.5	38
807	en	Se7en	18	Se7en	8.1	5915
10530	en	Pocahontas	13	Pocahontas	6.7	1509
8391	en	When Night Is Falling	3	When Night Is Falling	5.9	10
629	en	The Usual Suspects	16	The Usual Suspects	8.1	3334
117164	en	Guardian Angel	1	Guardian Angel	6.3	3
11448	en	Mighty Aphrodite	16	Mighty Aphrodite	6.7	145
49133	it	Lamerica	1	Lamerica	7.7	11
26441	en	The Big Green	6	The Big Green	5.2	41
97406	en	Georgia	4	Georgia	6.1	15
124057	en	Kids of the Round Table	0	Kids of the Round Table	3	1
9089	en	Home for the Holidays	8	Home for the Holidays	6.3	39
11010	it	Il postino	10	The Postman	7.6	181
99040	fr	Le confessionnal	0	The Confessional	6.5	2
11359	en	The Indian in the Cupboard	11	The Indian in the Cupboard	5.9	136
17182	en	Eye for an Eye	5	Eye for an Eye	5.8	65
2054	en	Mr. Holland's Opus	7	Mr. Holland's Opus	6.9	115
10607	en	Don't Be a Menace to South Central While Drinking Your Juice in the Hood	12	Don't Be a Menace to South Central While Drinking Your Juice in the Hood	6.2	192
19760	en	Two If by Sea	2	Two If by Sea	4.5	14
9536	en	Bio-Dome	6	Bio-Dome	4.4	110
11525	en	Lawnmower Man 2: Beyond Cyberspace	2	Lawnmower Man 2: Beyond Cyberspace	2.8	32
40628	en	Two Bits	4	Two Bits	5.4	11
4482	fr	Gazon maudit	3	French Twist	6	43
10634	en	Friday	15	Friday	7	513
755	en	From Dusk Till Dawn	15	From Dusk Till Dawn	6.9	1644
11859	en	Fair Game	6	Fair Game	4.1	54
28387	en	Kicking and Screaming	3	Kicking and Screaming	7	36
48750	fr	Les misérables	1	Les Miserables	6.6	8
20927	en	Bed of Roses	10	Bed of Roses	5.1	27
36929	en	Big Bully	3	Big Bully	3.9	16
9102	en	Screamers	13	Screamers	6.1	154
124626	en	Nico Icon	0	Nico Icon	7.3	3
27526	en	The Crossing Guard	6	The Crossing Guard	6.1	74
9623	en	The Juror	6	The Juror	5.5	91
46785	fa	بادکنک سفید	1	The White Balloon	7.5	20
400	en	Things to Do in Denver When You're Dead	4	Things to Do in Denver When You're Dead	6.7	87
880	nl	Antonia	2	Antonia's Line	7.2	26
146599	en	Once Upon a Time... When We Were Colored	0	Once Upon a Time... When We Were Colored	4.5	2
188588	en	Last Summer in the Hamptons	1	Last Summer in the Hamptons	0	0
8447	en	Angels and Insects	2	Angels and Insects	6.3	17
10534	en	White Squall	10	White Squall	6.3	86
17414	en	Dunston Checks In	5	Dunston Checks In	5.1	59
13997	en	Black Sheep	9	Black Sheep	6	124
2086	en	Nick of Time	7	Nick of Time	6.1	190
61548	en	The Journey of August King	0	The Journey of August King	6.7	3
9095	en	Mary Reilly	13	Mary Reilly	5.7	77
12158	en	Vampire in Brooklyn	9	Vampire in Brooklyn	4.5	113
9283	en	Beautiful Girls	5	Beautiful Girls	6.6	103
9208	en	Broken Arrow	15	Broken Arrow	5.7	459
40154	en	A Midwinter's Tale	1	A Midwinter's Tale	7.5	6
406	fr	La Haine	12	La Haine	7.9	695
45549	en	Shopping	3	Shopping	5.6	13
63076	en	Heidi Fleiss: Hollywood Madam	1	Heidi Fleiss: Hollywood Madam	6.8	4
11062	en	City Hall	5	City Hall	6	67
13685	en	Bottle Rocket	7	Bottle Rocket	6.8	285
47475	en	Mr. Wrong	3	Mr. Wrong	3.3	16
2045	en	Unforgettable	2	Unforgettable	5.3	22
9614	en	Happy Gilmore	10	Happy Gilmore	6.5	767
688	en	The Bridges of Madison County	6	The Bridges of Madison County	7.3	397
11907	de	Keiner liebt mich	1	Nobody Loves Me	5.1	5
10874	en	Muppet Treasure Island	7	Muppet Treasure Island	6.5	93
89333	en	Catwalk	1	Catwalk	7	2
96357	en	Headless Body in Topless Bar	0	Headless Body in Topless Bar	0	0
197	en	Braveheart	21	Braveheart	7.7	3404
103	en	Taxi Driver	14	Taxi Driver	8.1	2632
33542	cn	紅番區	12	Rumble in the Bronx	6.5	245
43566	en	Before and After	3	Before and After	5.8	37
71754	en	Margaret's Museum	0	Margaret's Museum	7.5	2
43612	en	Le Bonheur est dans le pré	1	Happiness Is in the Field	7	23
51352	en	Anne Frank Remembered	0	Anne Frank Remembered	7.3	4
16934	en	The Young Poisoner's Handbook	6	The Young Poisoner's Handbook	6.9	19
10324	en	If Lucy Fell	3	If Lucy Fell	5.4	11
