 budget 	MovieID
30000000	862
65000000	8844
16000000	31357
60000000	949
58000000	11860
35000000	9091
58000000	710
62000000	9087
44000000	10858
98000000	1408
52000000	524
16500000	4584
4000000	5
30000000	9273
60000000	11517
30250000	8012
50000000	9691
3600000	451
12000000	9263
18000000	902
29500000	63
30000000	9598
11000000	687
12000000	9603
10000000	11443
19000000	35196
18000000	9312
20000000	577
10000000	11861
33000000	807
55000000	10530
6000000	629
15000000	11448
45000000	11359
20000000	17182
15000000	9536
3500000	10634
19000000	755
50000000	11859
15000000	36929
20000000	9102
44000000	9623
8000000	400
900000	880
38000000	10534
16000000	17414
8169363	2086
47000000	9095
14000000	12158
50000000	9208
3000000	406
7000000	13685
18000000	2045
12000000	9614
24000000	688
72000000	197
1300000	103
7500000	33542
35000000	43566
13365000	43612
25000000	78406
40000000	11066
7000000	2074
17000000	27793
50000000	11863
60000000	9302
31000000	11000
19000000	9737
4000000	22279
52000000	568
28000000	11780
100000000	414
2000000	5894
11000000	1775
50000000	8839
25000000	20649
50000000	10329
53000000	8963
7000000	8068
27000000	8512
90000000	1572
55000000	6520
20000000	10428
25000000	9886
90000000	9482
1500000	9344
500000	9071
6000000	2293
15000000	9070
2	48787
22000000	1642
150000	36196
8	11980
50000000	10533
45000000	10802
7000000	10149
35000000	9348
42000000	281
14000000	79593
60000000	3512
20000000	9560
175000000	9804
8000000	31611
30000000	65796
2800000	50797
2500000	76
10000000	11017
21000000	9382
27000	2292
25000000	1909
55000000	8984
45000000	4954
16000000	8467
18000000	522
15000000	27303
700000	14275
5000000	1024
10500000	17207
120	13701
25000000	11777
60000000	628
14000000	87729
60000000	6280
40000000	6071
11000000	11
18000000	9587
17000000	19101
10000000	17961
2000000	18183
30000000	4476
60000000	43742
17000000	28313
45000000	3036
15000000	24070
6	17402
5500000	38722
31000000	1945
4800000	56428
34000000	241
50000000	6950
16000000	101
11000000	63020
8000000	680
400000	25296
32000000	12106
22000000	161495
15000000	3586
35000000	22586
45000000	2636
55000000	2164
22000000	11395
25000000	278
32	36614
25000000	9067
38000000	193
6000000	25066
6500000	36141
11000000	1587
30000000	9271
17000000	2064
3000000	236
15000000	3049
5000000	10497
62000000	9331
45000000	10731
15000000	9495
46000000	888
55000000	13
6000000	712
45000000	10879
45000000	8587
35000000	1689
14000000	11596
23000000	854
30000000	36593
6000000	12280
11500000	2788
8000000	10427
40000000	11011
45000000	8987
30000000	1637
27000000	8831
115000000	36955
63000000	12160
10000000	26352
45000	315
7000000	22067
35000000	11667
26000000	8011
8000000	2654
34000000	10436
17080000	46094
3200000	16771
40000000	46924
50000000	306
13000000	4722
22000000	1607
13000000	117553
30000000	6075
70000000	9350
40000000	2124
6900000	9571
57000000	9739
8000000	34444
30000000	9024
42000000	37233
20000000	1634
44000000	5503
35000000	35588
30000000	41579
18000000	2019
33000000	31642
25000000	9255
25000000	2259
30000000	11934
40000000	106143
40000000	9386
13000000	7984
30000000	31643
63000000	329
9000000	10909
1500000	507
85000000	9593
22000000	12121
13500000	10440
3500000	9516
55000000	2320
8000000	11971
25000000	788
12000000	11231
20000000	10447
40000000	31586
4000000	9300
30000000	9559
26000000	9800
7000000	713
14000000	8291
11000000	10872
11500000	1245
40000000	11858
22000000	5550
20000000	8005
11500000	2088
800000	47889
12000000	14534
22000000	424
13000000	11592
25000000	8850
22000000	10445
21000000	858
40000000	867
28000000	78
34000000	407448
12000000	24049
2000000	373247
5402000	277839
1689118	92108
3417000	30019
25868826	248705
2000000	36139
7500000	39164
5	71016
500000	40467
2	227143
10000	99104
1200000	97797
1254040	468707
750000	280422
2000000	293654
2000000	100152
800000	62757
2000000	63281
5000000	63898
