genres	MovieID
Animation	862
Adventure	8844
Romance	15602
Comedy	31357
Comedy	11862
Action	949
Comedy	11860
Action	45325
Action	9091
Adventure	710
Comedy	9087
Comedy	12110
Family	21032
History	10858
Action	1408
Drama	524
Drama	4584
Crime	5
Crime	9273
Action	11517
Comedy	8012
Drama	1710
Action	9691
Drama	12665
Drama	451
Drama	16420
Comedy	9263
Drama	17015
Fantasy	902
Drama	37557
Drama	9909
Science Romance	63
Romance	78802
Fantasy	9598
History 	47018
Drama	687
Adventure	139405
Comedy	33689
Comedy	9603
Drama	34615
Drama	31174
Action	11443
Drama	35196
Action	9312
Fantasy	577
Drama	11861
Crime	807
Adventure	10530
Drama	8391
Drama	629
Action	117164
Comedy	11448
Drama	49133
Action	26441
Drama	97406
Comedy	9089
Comedy	11010
Thriller	99040
Adventure	11359
Drama	17182
Music	2054
Comedy	10607
Comedy	19760
Comedy	9536
Action	11525
Drama	40628
Comedy	4482
Comedy	10634
Horror	755
Action	11859
Comedy	28387
Drama	48750
Drama	20927
Comedy	36929
Horror	9102
Documentary	124626
Drama	27526
Drama	9623
Family	46785
Drama	400
Drama	880
Romance	146599
Drama	8447
Action	10534
Adventure	17414
Comedy	13997
Crime	2086
Drama	61548
Drama	9095
Comedy	12158
Comedy	9283
Action	9208
Comedy	40154
Drama	406
Action	45549
Documentary	63076
Drama	11062
Comedy	13685
Comedy	47475
Drama	2045
Comedy	9614
Drama	688
Drama	11907
Action	10874
Documentary	89333
Crime	96357
Action	197
Crime	103
Crime	33542
Drama	43566
Drama	71754
Comedy	43612
Documentary	51352
Comedy	16934
Comedy	10324
Comedy	78406
Action	55731
Drama	32119
Comedy	11066
Drama	11104
Drama	37975
Comedy	2074
Fantasy	27793
Drama	44284
Comedy	110972
Comedy	32622
Drama	73067
Action	11863
Comedy	55475
Music	124636
Comedy	9101
Documentary	123360
Comedy	5757
Drama	39428
Drama	9302
Comedy	11000
Drama	249882
Comedy	16388
Action	9737
Action	30765
Drama	10474
Romance	22279
Crime	30157
Drama	568
Adventure	11780
Drama	34996
Action	414
Drama	649
Drama	1873
Comedy	5894
Action	1775
Fantasy	8839
Mystery	20649
Action	10329
Action	8963
Documentary	26564
Thriller	8068
Drama	8512
Action	1572
Action	13552
Drama	259209
Action	6520
Adventure	9073
Action	10428
Comedy	17447
Adventure	9886
Fiction	9482
Comedy	19326
Drama	9344
Drama	9071
Mystery	8973
Comedy	15730
Drama	47608
Romance	2293
Action	9070
Comedy	68274
Thriller	48787
Horror	34574
Crime	1642
Comedy	11472
Comedy	36196
Fantasy	11980
Fantasy	58372
Drama	32646
Drama	10533
Documentary	56088
Drama	10802
Comedy	10149
Comedy	18402
Science Fiction	9348
Drama	139408
Crime	281
Drama	5967
Thriller	79593
Drama	47939
Drama	36834
Comedy	9090
Action	3512
Comedy	52856
Documentary	77350
Drama	9560
Adventure	9804
Drama	31611
Action	65796
Drama	49805
Adventure	26258
Drama	50797
Drama	19155
Drama	76
Comedy	11017
Drama	37141
Comedy	9382
Drama	6715
Thriller	18256
Drama	22625
Comedy	2292
Romance	1909
Drama	8984
Thriller	61813
Action	4954
Crime	62488
Drama	10531
Crime	11929
Comedy	8467
Comedy	10451
Drama	20156
Thriller	18395
Comedy	522
Comedy	397
Comedy	10525
Action	27985
Romance	15789
Drama	27303
Drama	21183
History	10954
Drama	47867
Fantasy	43475
Drama	72031
Documentary	14275
Drama	1024
Comedy	17207
Drama	13701
Comedy	14819
Action	32631
Comedy	11777
Horror	628
Drama	87729
Comedy	18713
Comedy	6280
Action	9061
Adventure	37108
Action	6071
Adventure	11
Drama	9587
Drama	19101
Drama	49980
Crime	17961
Drama	18183
Adventure	4476
Adventure	11008
Action	47504
Crime	32325
Drama	43742
Drama	28313
Comedy	11318
Drama	3036
Action	40490
Comedy	24070
Comedy	8986
Fantasy	10510
Comedy	17402
Comedy	38722
Crime	8438
Drama	11593
Drama	1945
Crime	39310
Action	109560
Horror	56428
Science Fiction	63105
Drama	131957
Crime	241
Comedy	9058
Drama	527
Drama	18220
Action	6950
Thriller	101
Comedy	63020
Comedy	2307
Thriller	680
Drama	41478
Comedy	25296
Drama	40156
History	11450
Drama	30304
Drama	10452
Action	12106
Drama	161495
Drama	3586
Drama	110
Drama	108
Comedy	109
Drama	159185
Comedy	36357
Horror	92769
Comedy	28033
Animation	22586
Drama	14334
Action	2636
Action	2164
Fantasy	11395
Drama	278
Crime	9905
Drama	87078
Comedy	12527
Crime	20306
Comedy	36614
Comedy	27993
Drama	31439
Action	9067
Horror	9059
Science Fiction	193
Crime	25066
Drama	46797
Thriller	12122
Comedy	11381
Drama	32636
Thriller	36141
Drama	95963
Romance	1587
Action	9271
Comedy	2064
Drama	19855
Comedy	60855
Drama	236
Comedy	48287
Comedy	3049
Drama	2759
Drama	12635
Thriller	10497
Action	11382
Action	9331
Drama	10731
Comedy	10464
Comedy	34152
Fantasy	9495
Drama	29973
Fantasy	888
Comedy	13
Comedy	712
Romance	16295
Comedy	48992
Action	10879
Comedy	10660
Adventure	10714
Documentary	41647
Family	8587
Drama	1689
Horror	11596
Romance	854
Action	9359
Drama	23333
Comedy	36593
Comedy	12280
Drama	2788
Crime	10427
Comedy	11011
Drama	49803
Action	8987
Action	1637
Comedy	15128
Thriller	8831
Action	36955
Drama	10449
Fantasy	10395
Drama	12160
Action	40480
Comedy	52038
Comedy	29444
Action	26352
Drama	39953
Drama	41580
Action	315
Crime	22067
Animation	18242
Action	11667
Action	32502
Action	28732
Horror	75555
Documentary	42981
Romance	278939
Thriller	291731
Action	226229
Comedy	203119
Documentary	316098
Action	8011
Horror	2654
Drama	18069
Crime	19092
