MovieID	original_language	original_title	popularity	title	vote_average	vote_count	 budget 	 revenue 	Profit
862	en	Toy Story	22	Toy Story	7.7	5415	30000000	373554033	343554033
8844	en	Jumanji	17	Jumanji	6.9	2413	65000000	262797249	197797249
15602	en	Grumpier Old Men	12	Grumpier Old Men	6.5	92	0	0	0
31357	en	Waiting to Exhale	4	Waiting to Exhale	6.1	34	16000000	81452156	65452156
11862	en	Father of the Bride Part II	8	Father of the Bride Part II	5.7	173	0	76578911	76578911
949	en	Heat	18	Heat	7.7	1886	60000000	187436818	127436818
9091	en	Sudden Death	5	Sudden Death	5.5	174	35000000	64350171	29350171
11860	en	Sabrina	7	Sabrina	6.2	141	58000000	0	-58000000
710	en	GoldenEye	15	GoldenEye	6.6	1194	58000000	352194034	294194034
9087	en	The American President	6	The American President	6.5	199	62000000	107879496	45879496
21032	en	Balto	12	Balto	7.1	423	0	11348324	11348324
45325	en	Tom and Huck	3	Tom and Huck	5.4	45	0	0	0
10858	en	Nixon	5	Nixon	7.1	72	44000000	13681765	-30318235
1408	en	Cutthroat Island	7	Cutthroat Island	5.7	137	98000000	10017322	-87982678
524	en	Casino	10	Casino	7.8	1343	52000000	116112375	64112375
4584	en	Sense and Sensibility	11	Sense and Sensibility	7.2	364	16500000	135000000	118500000
5	en	Four Rooms	9	Four Rooms	6.5	539	4000000	4300000	300000
12110	en	Dracula: Dead and Loving It	5	Dracula: Dead and Loving It	5.7	210	0	0	0
9273	en	Ace Ventura: When Nature Calls	8	Ace Ventura: When Nature Calls	6.1	1128	30000000	212385533	182385533
11517	en	Money Train	7	Money Train	5.4	224	60000000	35431113	-24568887
8012	en	Get Shorty	13	Get Shorty	6.4	305	30250000	115101622	84851622
9691	en	Assassins	11	Assassins	6	394	50000000	30303072	-19696928
451	en	Leaving Las Vegas	10	Leaving Las Vegas	7.1	365	3600000	49800000	46200000
9263	en	Now and Then	9	Now and Then	6.6	91	12000000	27400000	15400000
902	fr	La Cit  des Enfants Perdus	10	The City of Lost Children	7.6	308	18000000	1738611	-16261389
9909	en	Dangerous Minds	9	Dangerous Minds	6.4	249	0	180000000	180000000
63	en	Twelve Monkeys	12	Twelve Monkeys	7.4	2470	29500000	168840000	139340000
9598	en	Babe	14	Babe	6	756	30000000	254134910	224134910
687	en	Dead Man Walking	7	Dead Man Walking	7.3	350	11000000	39363635	28363635
34615	en	"Cry, the Beloved Country"	1	"Cry, the Beloved Country"	6.7	13	0	676525	676525
1710	en	Copycat	11	Copycat	6.5	199	0	0	0
9312	en	Mortal Kombat	11	Mortal Kombat	5.4	452	18000000	122195920	104195920
577	en	To Die For	10	To Die For	6.7	177	20000000	21284514	1284514
11861	en	How To Make An American Quilt	4	How To Make An American Quilt	6.5	38	10000000	23574130	13574130
12665	en	Powder	12	Powder	6.3	143	0	0	0
807	en	Se7en	18	Se7en	8.1	5915	33000000	327311859	294311859
9603	en	Clueless	10	Clueless	6.9	828	12000000	0	-12000000
10530	en	Pocahontas	13	Pocahontas	6.7	1509	55000000	346079773	291079773
11443	en	Dead Presidents	10	Dead Presidents	6.6	80	10000000	0	-10000000
629	en	The Usual Suspects	16	The Usual Suspects	8.1	3334	6000000	23341568	17341568
16420	en	Othello	2	Othello	7	33	0	0	0
11448	en	Mighty Aphrodite	16	Mighty Aphrodite	6.7	145	15000000	6700000	-8300000
35196	en	Restoration	11	Restoration	6.3	30	19000000	0	-19000000
9089	en	Home for the Holidays	8	Home for the Holidays	6.3	39	0	17519169	17519169
2054	en	Mr. Holland's Opus	7	Mr. Holland's Opus	6.9	115	0	106269971	106269971
17015	en	Persuasion	2	Persuasion	7.4	36	0	0	0
11525	en	Lawnmower Man 2: Beyond Cyberspace	2	Lawnmower Man 2: Beyond Cyberspace	2.8	32	0	2409225	2409225
10634	en	Friday	15	Friday	7	513	3500000	28215918	24715918
755	en	From Dusk Till Dawn	15	From Dusk Till Dawn	6.9	1644	19000000	25836616	6836616
37557	zh	?????????	1	Shanghai Triad	6.5	17	0	0	0
11859	en	Fair Game	6	Fair Game	4.1	54	50000000	11534477	-38465523
28387	en	Kicking and Screaming	3	Kicking and Screaming	7	36	0	718490	718490
20927	en	Bed of Roses	10	Bed of Roses	5.1	27	0	19030691	19030691
36929	en	Big Bully	3	Big Bully	3.9	16	15000000	2042530	-12957470
9102	en	Screamers	13	Screamers	6.1	154	20000000	5781885	-14218115
78802	fr	"Guillaumet, les ailes du courage"	1	Wings of Courage	6.8	4	0	0	0
400	en	Things to Do in Denver When You're Dead	4	Things to Do in Denver When You're Dead	6.7	87	8000000	529766	-7470234
10534	en	White Squall	10	White Squall	6.3	86	38000000	10300000	-27700000
11359	en	The Indian in the Cupboard	11	The Indian in the Cupboard	5.9	136	45000000	0	-45000000
13997	en	Black Sheep	9	Black Sheep	6	124	0	32	32
47018	en	Carrington	1	Carrington	6.4	16	0	0	0
2086	en	Nick of Time	7	Nick of Time	6.1	190	8169363	8175346	5983
17182	en	Eye for an Eye	5	Eye for an Eye	5.8	65	20000000	0	-20000000
9095	en	Mary Reilly	13	Mary Reilly	5.7	77	47000000	12379402	-34620598
9536	en	Bio-Dome	6	Bio-Dome	4.4	110	15000000	0	-15000000
12158	en	Vampire in Brooklyn	9	Vampire in Brooklyn	4.5	113	14000000	19800000	5800000
139405	en	Across the Sea of Time	0	Across the Sea of Time	3.5	2	0	0	0
9208	en	Broken Arrow	15	Broken Arrow	5.7	459	50000000	150270147	100270147
13685	en	Bottle Rocket	7	Bottle Rocket	6.8	285	7000000	560069	-6439931
33689	en	It Takes Two	8	It Takes Two	6.1	149	0	0	0
9614	en	Happy Gilmore	10	Happy Gilmore	6.5	767	12000000	41205099	29205099
688	en	The Bridges of Madison County	6	The Bridges of Madison County	7.3	397	24000000	182016617	158016617
10874	en	Muppet Treasure Island	7	Muppet Treasure Island	6.5	93	0	34327391	34327391
197	en	Braveheart	21	Braveheart	7.7	3404	72000000	210000000	138000000
103	en	Taxi Driver	14	Taxi Driver	8.1	2632	1300000	28262574	26962574
31174	en	Richard III	5	Richard III	6.9	50	0	0	0
33542	cn	???	12	Rumble in the Bronx	6.5	245	7500000	32392047	24892047
51352	en	Anne Frank Remembered	0	Anne Frank Remembered	7.3	4	0	1	1
9623	en	The Juror	6	The Juror	5.5	91	44000000	0	-44000000
78406	en	Steal Big Steal Little	2	Steal Big Steal Little	5.1	7	25000000	6278139	-18721861
11066	en	Boomerang	7	Boomerang	5.4	139	40000000	70100000	30100000
