MovieID	release_date
862	10/30/1995
8844	12/15/1995
15602	12/22/1995
31357	12/22/1995
11862	2/10/1995
949	12/15/1995
11860	12/15/1995
45325	12/22/1995
9091	12/22/1995
710	11/16/1995
9087	11/17/1995
12110	12/22/1995
21032	12/22/1995
10858	12/22/1995
1408	12/22/1995
524	11/22/1995
4584	12/13/1995
5	12/9/1995
9273	11/10/1995
11517	11/21/1995
8012	10/20/1995
1710	10/27/1995
9691	10/6/1995
12665	10/27/1995
451	10/27/1995
16420	12/15/1995
9263	10/20/1995
17015	9/27/1995
902	5/16/1995
37557	4/30/1995
9909	8/11/1995
63	12/29/1995
78802	9/18/1996
9598	7/18/1995
47018	11/8/1995
687	12/29/1995
139405	10/20/1995
33689	11/17/1995
9603	7/19/1995
34615	12/15/1995
31174	12/29/1995
11443	10/6/1995
35196	12/29/1995
9312	8/18/1995
577	5/20/1995
11861	10/6/1995
807	9/22/1995
10530	6/14/1995
8391	5/5/1995
629	7/19/1995
117164	11/22/1994
11448	9/13/1995
49133	1/1/1994
26441	9/29/1995
97406	5/19/1995
124057	7/8/1997
9089	11/2/1995
11010	9/22/1994
99040	9/29/1995
11359	7/14/1995
17182	1/12/1996
2054	12/29/1995
10607	1/12/1996
19760	1/12/1996
9536	1/12/1996
11525	1/12/1996
40628	10/22/1995
4482	2/8/1995
10634	4/26/1995
755	1/19/1996
11859	11/3/1995
28387	10/6/1995
48750	3/22/1995
20927	1/26/1996
36929	1/26/1996
9102	9/8/1995
124626	2/18/1995
27526	11/15/1995
9623	2/2/1996
46785	1/1/1995
400	12/1/1995
880	9/12/1995
146599	1/26/1996
188588	11/22/1995
8447	9/10/1995
10534	2/2/1996
17414	1/12/1996
13997	2/1/1996
2086	11/22/1995
61548	9/14/1995
9095	2/23/1996
12158	10/26/1995
9283	2/9/1996
9208	2/9/1996
40154	12/1/1995
406	5/31/1995
45549	12/6/1994
63076	12/27/1995
11062	2/16/1996
13685	2/21/1996
47475	2/16/1996
2045	2/23/1996
9614	2/16/1996
688	5/28/1995
11907	11/7/1994
10874	2/16/1996
89333	12/8/1995
96357	5/20/1995
197	5/24/1995
103	2/7/1976
33542	1/30/1995
43566	2/23/1996
71754	9/13/1995
43612	1/31/1995
51352	6/8/1995
16934	1/20/1995
10324	3/8/1996
78406	9/29/1995
55731	3/22/1996
32119	12/6/1992
11066	6/30/1992
11104	7/14/1994
37975	9/21/1995
2074	3/22/1996
27793	10/26/1994
44284	9/30/1994
290157	1/1/1995
110972	2/9/1996
32622	1/1/1995
73067	11/22/1995
11863	10/13/1995
55475	8/16/1995
124636	8/1/1995
9101	3/1/1996
123360	9/8/1995
5757	9/15/1995
39428	8/23/1995
124639	8/1/1995
9302	3/1/1996
11000	3/8/1996
249882	10/12/1995
16388	8/9/1995
9737	4/7/1995
30765	8/25/1995
10474	4/21/1995
22279	7/21/1995
30157	8/5/1994
568	6/30/1995
11780	4/13/1995
34996	1/10/1995
414	6/16/1995
649	5/24/1967
1873	5/24/1995
5894	9/15/1995
1775	6/8/1995
8839	5/26/1995
20649	9/15/1995
10329	6/9/1995
8963	5/12/1995
26564	9/10/1994
8068	8/25/1995
8512	9/15/1995
1572	5/19/1995
13552	10/27/1995
259209	10/12/1995
6520	7/7/1995
9073	7/19/1995
10428	9/14/1995
17447	8/18/1995
9886	5/26/1995
9482	6/30/1995
19326	4/12/1995
9344	7/28/1995
9071	1/20/1995
8973	8/25/1995
15730	5/20/1993
47608	5/26/1995
2293	10/20/1995
9070	6/30/1995
68274	9/29/1995
48787	9/28/1995
34574	9/13/1994
1642	7/28/1995
11472	7/12/1995
36196	6/9/1995
11980	9/1/1995
58372	11/17/1995
32646	6/23/1995
10533	10/13/1995
56088	8/25/1995
10802	9/22/1995
10149	6/9/1995
18402	8/4/1995
9348	7/7/1995
139408	9/15/1995
281	10/13/1995
5967	2/19/1964
79593	9/8/1995
47939	10/27/1995
36834	11/2/1995
9090	9/7/1995
3512	7/13/1995
52856	9/15/1995
77350	8/11/1995
9560	8/11/1995
9804	7/28/1995
31611	12/1/1995
65796	12/1/1995
49805	10/12/1994
26258	8/4/1995
50797	5/1/1994
19155	6/9/1994
76	1/27/1995
11017	2/10/1995
37141	10/17/1995
9382	2/3/1995
6715	4/21/1995
18256	8/4/1995
22625	3/16/1995
2292	9/13/1994
1909	10/1/1994
8984	12/9/1994
61813	1/1/1995
4954	12/8/1994
62488	4/28/1995
10531	5/4/1994
11929	3/24/1995
8467	12/16/1994
10451	8/3/1994
20156	9/24/1994
18395	10/14/1994
522	9/27/1994
397	5/5/1995
10525	5/19/1995
27985	1/13/1995
15789	4/7/1995
27303	3/3/1995
21183	6/2/1995
10954	12/7/1994
47867	5/12/1995
43475	12/1/1995
72031	9/16/1994
14275	9/12/1994
1024	9/2/1994
17207	1/6/1995
13701	12/16/1994
14819	2/17/1995
32631	2/24/1995
11777	12/24/1994
628	11/11/1994
87729	3/31/1995
18713	2/3/1995
6280	11/22/1994
9061	2/17/1995
37108	8/11/1995
6071	4/21/1995
11	5/25/1977
9587	12/21/1994
19101	5/10/1995
49980	2/18/1994
17961	2/16/1994
18183	4/16/1992
4476	12/16/1994
11008	3/24/1995
47504	10/27/1994
32325	6/8/1994
43742	10/21/1994
28313	3/17/1995
11318	12/28/1994
3036	11/4/1994
40490	3/3/1995
24070	12/21/1994
8986	8/31/1994
10510	11/18/1994
17402	1/27/1995
38722	5/3/1995
8438	1/20/1995
11593	12/23/1994
1945	12/23/1994
39310	4/19/1995
109560	8/14/1993
56428	4/22/1994
63105	9/26/1995
131957	3/3/1995
241	8/25/1994
9058	9/17/1994
527	9/2/1994
18220	1/16/1996
6950	3/10/1995
101	9/14/1994
63020	5/12/1995
2307	4/28/1995
680	9/10/1994
41478	11/10/1995
25296	2/1/1992
40156	1/1/1994
11450	9/16/1994
30304	5/5/1995
10452	5/13/1994
12106	2/9/1995
161495	3/1/1995
3586	12/23/1994
110	5/27/1994
108	1/10/1993
109	1/26/1994
159185	10/14/1994
36357	1/1/1995
92769	10/3/1995
28033	4/12/1995
22586	11/18/1994
14334	1/1/1994
2636	10/7/1994
2164	10/27/1994
11395	11/10/1994
278	9/23/1994
9905	12/22/1994
87078	9/14/1993
12527	1/1/1993
20306	9/10/1994
36614	7/12/1994
27993	9/8/1995
31439	6/30/1994
9067	3/31/1995
9059	1/13/1995
193	11/17/1994
25066	5/24/1995
46797	4/15/1994
12122	4/28/1995
11381	3/31/1995
32636	9/13/1994
36141	4/28/1995
95963	2/24/1995
1587	12/17/1993
9271	8/4/1995
2064	4/21/1995
19855	11/4/1994
60855	9/7/1994
236	9/29/1994
48287	8/18/1995
3049	2/4/1994
2759	5/31/1994
12635	4/1/1994
10497	9/2/1992
11382	10/14/1994
9331	8/3/1994
10731	7/20/1994
10464	8/12/1994
34152	5/13/1994
9495	5/11/1994
29973	12/2/1994
888	5/26/1994
13	7/6/1994
712	3/9/1994
16295	1/11/1995
48992	10/14/1994
10879	6/29/1994
10660	7/29/1994
10714	12/23/1994
41647	9/11/1993
8587	6/23/1994
1689	12/1/1993
11596	10/13/1994
854	7/29/1994
9359	5/20/1994
23333	9/7/1994
36593	3/18/1994
12280	3/18/1994
2788	2/18/1994
10427	7/8/1993
11011	12/19/1994
49803	12/1/1994
8987	9/30/1994
1637	6/9/1994
15128	12/16/1994
8831	9/15/1994
36955	7/14/1994
10449	4/29/1994
10395	6/17/1994
12160	6/24/1994
40480	1/20/1995
52038	12/22/1994
29444	9/15/1994
26352	11/23/1994
39953	9/30/1994
41580	1/1/1994
315	8/6/1965
22067	9/28/1994
18242	12/10/1993
11667	12/22/1994
32502	9/15/1995
267188	12/31/1997
28732	5/13/1995
75555	1/20/1995
42981	10/20/1995
278939	10/24/1995
291731	5/3/1995
226229	11/21/1995
203119	5/3/1996
172923	5/26/1995
316098	3/1/1995
8011	11/29/1994
171857	2/24/1995
2654	12/12/1994
18069	2/25/1994
19092	3/23/1994
2758	11/19/1993
38129	4/27/1994
10436	9/17/1993
13595	8/5/1994
46094	1/7/1994
9409	7/22/1993
11853	4/22/1994
16771	7/29/1994
46924	5/6/1994
11041	10/15/1993
306	5/24/1994
14522	7/29/1994
26203	1/26/1994
178	7/1/1994
19819	2/18/1994
57834	9/16/1994
4722	6/9/1993
18215	6/18/1993
1607	9/14/1993
26391	1/7/1994
117553	9/3/1993
6075	11/10/1993
11310	6/10/1994
18658	5/6/1994
9350	5/28/1993
9612	7/23/1993
2124	8/19/1994
26261	4/15/1994
19176	6/3/1994
49299	11/19/1993
11566	5/7/1993
9571	9/24/1993
9739	10/8/1993
24257	6/3/1994
34444	5/13/1994
26141	10/29/1993
10997	9/16/1993
50463	4/29/1994
10443	10/15/1993
20239	10/28/1994
16297	4/29/1994
18551	11/5/1993
25440	5/13/1994
9024	10/1/1993
37233	6/30/1993
1634	7/16/1993
13815	8/24/1994
5503	8/6/1993
35588	12/10/1993
2087	2/11/1994
41579	6/17/1994
18620	6/10/1994
41006	7/14/1994
4916	6/4/1993
2019	8/20/1993
31642	12/24/1993
9255	5/21/1993
26271	12/8/1995
10612	5/12/1995
2259	10/19/1993
16097	1/1/1994
11934	3/11/1994
106143	2/4/1994
12475	8/12/1994
9386	7/8/1993
7984	12/12/1993
59930	4/22/1994
15765	6/9/1993
31643	3/30/1994
6	10/15/1993
329	6/11/1993
10909	9/1/1993
507	10/1/1993
34024	8/20/1993
29918	7/22/1994
9593	6/18/1993
42580	6/4/1993
22317	3/11/1994
1413	9/9/1993
12121	5/27/1993
2246	9/29/1993
10502	8/25/1993
10440	8/18/1993
9516	5/26/1993
2320	3/15/1996
5879	5/15/1976
83718	9/9/1994
11971	5/7/1993
2625	10/8/1993
31911	10/15/1993
788	11/24/1993
21450	9/14/1993
11231	7/18/1994
41588	9/16/1994
10447	4/29/1994
31586	7/22/1994
9300	9/1/1992
9559	11/24/1993
9800	12/22/1993
713	5/19/1993
8291	7/23/1993
18133	9/24/1993
25557	10/21/1994
22588	10/21/1994
10872	3/9/1994
1245	11/5/1993
11858	6/3/1994
7007	7/30/1993
10467	10/28/1994
5550	4/17/1993
8005	7/28/1993
2088	9/13/1993
10412	3/5/1992
47889	10/8/1993
14534	9/17/1993
56583	11/3/1993
41878	8/19/1992
424	11/29/1993
35233	9/30/1994
14291	8/13/1993
103413	9/30/1994
11236	8/13/1993
11592	4/13/1994
8850	7/1/1994
10445	12/25/1993
695	9/5/1993
43535	9/2/1994
12519	10/1/1993
23210	12/8/1993
858	6/24/1993
867	5/21/1993
78	6/25/1982
13203	7/2/1993
346225	9/17/2015
333097	4/16/2015
415633	10/9/2016
429524	3/30/2016
421126	1/9/2017
104810	6/6/1966
383743	2/18/2016
365451	10/30/2015
17229	7/21/2007
75760	5/3/2011
412669	3/4/2017
279687	6/24/2008
464111	7/12/2017
385305	3/5/2016
440597	7/7/2017
417870	7/21/2017
419459	7/21/2017
407448	7/28/2017
414453	8/4/2017
329005	4/15/2015
213204	8/9/2013
117800	9/29/1962
384594	10/1/2016
257059	1/25/2014
412103	7/24/2016
438665	2/1/2017
437830	1/27/2017
7014	3/1/1973
411516	10/15/2016
254689	2/9/2014
101190	2/15/1963
316437	1/15/2011
85709	8/28/2010
60378	7/8/1977
403667	9/8/2016
74464	4/30/1998
459950	7/18/2017
332543	3/21/2014
128571	4/29/2011
82029	8/3/2011
33704	10/6/2004
103344	4/30/2012
275272	11/12/2003
68637	6/22/2011
454774	4/24/2017
433410	1/29/2017
429039	11/23/2016
45592	9/4/1965
69483	8/8/1948
423453	2/1/2017
451955	5/26/2017
70609	4/13/1973
36886	9/28/1972
36887	8/26/1971
36885	2/17/1972
12097	5/9/1969
280640	10/15/2014
231216	12/2/2004
66247	5/5/1995
49074	1/15/1995
47940	4/1/1999
24049	6/14/2007
28469	11/15/1961
410554	7/21/2017
96823	3/22/2012
54559	12/13/2010
390343	4/16/2016
450875	4/28/2017
56841	9/24/2010
417320	7/21/2017
104700	###############################################################################################################################################################################################################################################################
70573	12/17/1988
407803	11/4/2016
104702	###############################################################################################################################################################################################################################################################
49295	###############################################################################################################################################################################################################################################################
51507	2/4/2010
265189	8/15/2014
373247	8/11/2016
458618	5/15/2017
277839	2/24/2016
454787	5/6/2017
433471	6/16/2017
69727	6/23/1988
89606	3/20/1957
467731	2/19/1956
383216	2/19/2016
76289	1/28/1987
104308	8/25/1988
206277	12/26/2013
92108	10/14/2011
36415	4/21/2009
60153	5/2/2006
245073	9/24/1971
280477	9/10/1985
154575	9/29/1973
88844	9/29/2011
182981	6/1/2014
59958	10/21/2005
432025	1/27/2017
36391	5/2/1988
87229	3/26/2010
383618	9/28/2016
10819	10/13/2004
31856	4/30/1971
358511	9/6/2015
79343	11/14/2007
155939	10/19/2007
56350	7/5/2003
25667	11/28/2008
24768	2/2/1996
190496	11/28/2003
58133	10/9/2008
139159	4/4/2012
30019	8/28/2009
78359	1/30/1984
101801	3/7/2002
36416	4/21/2006
317736	12/25/2014
168819	1/18/2001
108331	8/20/2010
291224	1/1/1971
418757	8/1/2014
103462	11/8/2011
38876	2/13/2009
369444	10/27/1989
81318	8/20/1993
152912	12/5/1988
68802	2/6/1987
80284	4/25/2008
80831	12/17/2009
180244	9/9/2009
157320	11/1/1998
167267	10/14/1969
112531	9/30/2011
81313	10/24/2003
245394	11/24/2010
190817	6/5/2013
120831	11/28/1927
364865	2/2/2016
65507	9/20/2003
43656	8/30/2002
401408	6/28/2016
366505	5/6/2016
434166	4/6/2017
212865	1/18/1997
104704	###############################################################################################################################################################################################################################################################
435473	2/3/2017
269981	9/20/1954
183088	1/22/1990
430365	4/5/2017
50977	1/1/1961
395767	1/11/2017
199887	1/4/2013
248705	3/23/2016
90063	7/30/1985
37440	1/1/2008
36139	8/30/2009
43585	10/27/2007
44918	8/7/2010
63990	11/26/2010
28669	3/6/1966
188421	10/25/2010
39164	6/17/1983
3104	3/15/1967
20776	3/9/2003
24568	9/1/1967
43085	12/16/2006
100671	5/1/1969
19307	5/29/1969
270762	4/22/2013
48959	1/23/1998
214753	1/1/1993
173874	1/1/1996
71016	1/1/1983
151506	11/6/1995
43995	3/29/1966
40467	12/11/1981
449696	1/1/1991
79927	6/21/1991
21251	10/1/1976
374764	11/12/2015
460135	8/30/2017
42247	4/20/2007
426272	5/5/2017
408624	9/10/2016
413421	3/24/2017
261871	12/12/2013
317389	7/22/1973
91563	9/12/2005
227143	10/2/2013
432789	1/27/2017
264269	3/13/2014
182030	12/22/1965
32388	4/3/1968
434873	10/8/2016
175461	4/26/1921
175457	12/31/1921
176298	3/11/1924
184402	4/9/1925
370213	11/20/2015
99104	1/1/1997
445126	3/4/2017
401687	6/4/2016
200066	1/1/1988
273279	9/22/2010
97797	2/1/2007
149946	11/27/2007
61385	9/6/2004
468707	7/28/2017
280422	6/5/2014
38326	8/12/2008
240789	10/9/2009
293654	9/18/2014
64197	6/25/2007
102363	1/1/2011
92771	9/9/2004
98604	2/14/2012
97672	3/1/2012
100152	11/11/2004
62757	11/23/2006
61966	2/14/2008
63281	9/30/2010
70965	11/29/2007
75608	10/1/1963
275331	1/1/1957
282308	1/1/1912
461297	8/1/2017
258907	1/1/1974
127762	###############################################################################################################################################################################################################################################################
18098	4/30/2000
52103	1/1/1997
63898	9/6/2007
174271	10/13/1996
42652	1/1/1988
143117	2/3/1989
65416	1/24/1997
365432	11/7/2015
45029	10/27/1993
36680	5/1/2006
222872	1/1/1996
257472	10/30/1974
323132	1/1/1976
5589	6/7/1968
325439	10/31/1961
63266	3/25/2010
45527	1/1/2010
455661	6/1/2017
327237	4/2/2015
84710	6/1/1944
39562	1/8/2007
14008	3/7/2002
44330	1/1/1905
49279	1/1/1901
44333	1/1/1905
49277	1/1/1906
49271	1/1/1909
44324	3/5/1904
122036	1/1/1904
14885	9/13/2005
49280	1/1/1900
106807	1/1/1900
276895	1/1/1981
404604	7/7/2017
420346	1/11/2015
67179	1/1/1972
84419	3/29/1946
390959	10/22/2000
289923	10/3/2000
222848	1/1/1995
30840	5/13/1991
111109	11/17/2011
67758	8/1/2003
227506	10/21/1917
461257	6/9/2017
