MovieID	 revenue 
862	373554033
8844	262797249
31357	81452156
11862	76578911
949	187436818
9091	64350171
710	352194034
9087	107879496
21032	11348324
10858	13681765
1408	10017322
524	116112375
4584	135000000
5	4300000
9273	212385533
11517	35431113
8012	115101622
9691	30303072
451	49800000
9263	27400000
902	1738611
9909	180000000
63	168840000
9598	254134910
687	39363635
34615	676525
9312	122195920
577	21284514
11861	23574130
807	327311859
10530	346079773
629	23341568
11448	6700000
9089	17519169
2054	106269971
11525	2409225
10634	28215918
755	25836616
11859	11534477
28387	718490
20927	19030691
36929	2042530
9102	5781885
400	529766
10534	10300000
13997	32
2086	8175346
9095	12379402
12158	19800000
9208	150270147
13685	560069
9614	41205099
688	182016617
10874	34327391
197	210000000
103	28262574
33542	32392047
51352	1
78406	6278139
11066	70100000
2074	14702438
11863	9851610
5757	209935
11000	185260553
9737	141407024
22279	851545
568	355237933
11780	31596911
414	336529144
5894	1275000
1775	178104
8839	287928194
20649	13071518
10329	152022101
8963	157387195
26564	3174695
8068	25405445
8512	16140822
1572	366101666
6520	127600435
10428	7563728
9886	19075720
9482	113493481
19326	17014653
9344	7412216
9071	1148752
47608	15453274
2293	2122561
9070	66000000
48787	1
1642	110627965
11472	69660733
36196	472370
11980	16
10533	10382407
10802	20350754
10149	8349430
18402	50892160
9348	113374103
281	7959291
79593	5780000
47939	7025496
36834	339889
9090	47774193
3512	104324083
9560	50012507
9804	264218220
50797	2616503
19155	763847
76	5535405
11017	26488734
9382	23450000
2292	3151130
1909	22200000
8984	214015089
8467	247275374
10451	7294403
18395	6841570
522	5887457
15789	35348597
27303	12201255
47867	3992809
14275	7830611
1024	3049135
17207	26325256
14819	17689177
628	223664608
87729	2474000
6280	37000000
11	775398007
18183	21665468
4476	160638883
28313	7603766
3036	112006296
8986	18137661
10510	46264384
17402	5
8438	17381942
1945	106683817
241	50282766
527	2201126
6950	189859560
101	45284974
63020	2832826
680	213928762
41478	6834525
25296	152322
40156	4176932
12106	18552460
161495	12400000
3586	11300653
22586	9771658
2636	170362582
2164	196567262
11395	189833357
278	28341469
87078	102780
9067	4064495
193	120000000
25066	12000000
11381	32648673
1587	10032765
9271	24048000
2064	182057016
60855	759393
236	15119639
3049	107217396
2759	11220670
10497	1862805
9331	215887717
10731	117615211
9495	94000000
29973	1007583
888	341631208
13	677945399
712	254700832
16295	38290723
48992	1777020
10879	61947267
41647	449707
8587	788241776
1689	4858139
11596	18090181
854	351583407
36593	51132598
2788	20079850
10427	2000000
1637	350448145
8831	101646581
36955	378882411
10449	50021959
12160	25052000
52038	953
26352	29392418
22067	20851521
11667	99423521
8011	36800000
2654	8946600
2758	48919043
10436	32255440
46094	21011500
11853	15240435
306	119208989
26203	16668552
178	30156002
4722	428868
18215	1796389
1607	17287898
26391	3662459
117553	2570145
6075	36516012
18658	7355425
9350	255000211
2124	19726050
11566	63000000
9571	7993039
9739	159055768
18551	9488998
9024	11146270
37233	270248367
1634	153698625
5503	368875760
35588	18635620
2087	30
4916	22886222
2019	74189677
9255	133752825
12475	28881266
9386	176997168
7984	65796862
59930	8880705
6	12136938
329	920100000
10909	2395231
507	418961
9593	137298489
1413	1499795
2246	46405336
10502	24760338
10440	11285588
9516	27900000
2320	121969216
788	441286195
11231	15826984
10447	15340000
9559	135130999
9800	206678440
713	116700000
8291	27515786
18133	23042200
25557	8638072
10872	11439193
1245	23237911
11858	24332324
7007	107198790
5550	10696210
8005	35739755
2088	3275585
47889	1001437
14534	22750363
424	321365567
14291	7266383
11592	7820688
8850	48063435
695	6110979
12519	7770731
858	227799884
867	116300000
78	33139618
13203	36448200
423453	7800000
49074	15000000
24049	19000000
265189	1359497
264269	320395
280422	3
240789	50656
62757	1328612
63281	1268793
63898	1413000
