MovieID	runtime
862	81
8844	104
15602	101
31357	127
11862	106
949	170
11860	127
45325	97
9091	106
710	130
9087	106
12110	88
21032	78
10858	192
1408	119
524	178
4584	136
5	98
9273	90
11517	103
8012	105
1710	124
9691	132
12665	111
451	112
16420	123
9263	100
17015	104
902	108
37557	108
9909	99
63	129
78802	50
9598	89
47018	121
687	122
139405	51
33689	101
9603	97
34615	106
31174	104
11443	119
35196	117
9312	101
577	106
11861	116
807	127
10530	81
8391	96
629	106
117164	93
11448	95
49133	116
26441	100
97406	115
124057	89
9089	103
11010	108
99040	100
11359	96
17182	101
2054	137
10607	89
19760	96
9536	88
11525	92
40628	85
4482	95
10634	91
755	108
11859	91
28387	96
48750	175
20927	87
36929	90
9102	108
124626	70
27526	111
9623	118
46785	85
400	116
880	102
146599	115
188588	108
8447	118
10534	129
17414	88
13997	87
2086	90
61548	91
9095	104
12158	100
9283	112
9208	108
40154	99
406	98
45549	105
63076	106
11062	111
13685	91
47475	96
2045	106
9614	92
688	135
11907	104
10874	100
89333	95
96357	110
197	177
103	114
33542	91
43566	108
71754	114
43612	106
51352	117
16934	99
10324	92
78406	113
55731	100
32119	90
11066	117
11104	102
37975	113
2074	92
27793	95
44284	116
290157	87
110972	95
32622	99
73067	101
11863	95
55475	102
124636	87
9101	92
123360	97
5757	86
39428	91
124639	122
9302	119
11000	117
249882	125
16388	98
9737	118
30765	81
10474	102
22279	113
30157	105
568	140
11780	139
34996	82
414	121
649	101
1873	100
5894	83
1775	91
8839	100
20649	128
10329	109
8963	116
26564	119
8068	104
8512	102
1572	128
13552	80
259209	116
6520	134
9073	95
10428	107
17447	92
9886	97
9482	96
19326	88
9344	91
9071	89
8973	119
15730	100
47608	95
2293	94
9070	92
68274	100
48787	95
34574	93
1642	114
11472	103
36196	94
11980	98
58372	91
32646	119
10533	135
56088	93
10802	128
10149	112
18402	106
9348	108
139408	109
281	145
5967	91
79593	99
47939	115
36834	111
9090	105
3512	100
52856	93
77350	73
9560	103
9804	135
31611	89
65796	98
49805	97
26258	90
50797	135
19155	113
76	105
11017	89
37141	90
9382	115
6715	97
18256	95
22625	103
2292	92
1909	97
8984	123
61813	0
4954	101
62488	0
10531	103
11929	132
8467	107
10451	123
20156	103
18395	113
522	127
397	111
10525	101
27985	87
15789	78
27303	103
21183	96
10954	111
47867	90
43475	77
72031	109
14275	171
1024	99
17207	113
13701	121
14819	100
32631	106
11777	100
628	123
87729	139
18713	82
6280	109
9061	102
37108	89
6071	101
11	121
9587	115
19101	97
49980	101
17961	100
18183	105
4476	133
11008	95
47504	98
32325	92
43742	108
28313	106
11318	107
3036	123
40490	96
24070	97
8986	108
10510	114
17402	95
38722	128
8438	122
11593	110
1945	112
39310	98
109560	93
56428	89
63105	83
131957	100
241	119
9058	115
527	99
18220	106
6950	127
101	110
63020	113
2307	94
680	154
41478	124
25296	105
40156	98
11450	133
30304	94
10452	162
12106	107
161495	108
3586	133
110	99
108	98
109	91
159185	111
36357	85
92769	90
28033	95
22586	89
14334	97
2636	110
2164	121
11395	97
278	142
9905	92
87078	96
12527	108
20306	101
36614	100
27993	91
31439	125
9067	98
9059	92
193	118
25066	98
46797	115
12122	99
11381	97
32636	119
36141	99
95963	88
1587	118
9271	106
2064	103
19855	126
60855	87
236	106
48287	94
3049	86
2759	104
12635	100
10497	139
11382	98
9331	141
10731	119
10464	115
34152	115
9495	102
29973	128
888	91
13	142
712	117
16295	127
48992	104
10879	123
10660	101
10714	111
41647	180
8587	89
1689	140
11596	112
854	101
9359	127
23333	125
36593	83
12280	112
2788	99
10427	98
11011	95
49803	98
8987	111
1637	116
15128	99
8831	99
36955	141
10449	126
10395	125
12160	191
40480	108
52038	99
29444	96
26352	100
39953	91
41580	110
315	83
22067	119
18242	61
11667	102
32502	92
267188	97
28732	88
75555	98
42981	89
278939	89
291731	97
226229	92
203119	97
172923	0
316098	115
8011	99
171857	97
2654	95
18069	105
19092	96
2758	94
38129	84
10436	139
13595	92
46094	107
9409	105
11853	99
16771	100
46924	122
11041	93
306	104
14522	88
26203	106
178	121
19819	108
57834	101
4722	87
18215	107
1607	121
26391	80
117553	90
6075	144
11310	116
18658	107
9350	112
9612	88
2124	121
26261	93
19176	102
49299	108
11566	110
9571	102
9739	115
24257	109
34444	96
26141	91
10997	171
50463	97
10443	122
20239	88
16297	103
18551	126
25440	101
9024	94
37233	154
1634	112
13815	114
5503	130
35588	115
2087	115
41579	109
18620	83
41006	94
4916	107
2019	97
31642	140
9255	86
26271	95
10612	99
2259	140
16097	100
11934	111
106143	115
12475	91
9386	128
7984	133
59930	110
15765	118
31643	112
6	110
329	127
10909	117
507	96
34024	103
29918	94
9593	130
42580	91
22317	98
1413	101
12121	111
2246	107
10502	114
10440	104
9516	97
2320	133
5879	105
83718	91
11971	111
2625	114
31911	98
788	125
21450	131
11231	107
41588	112
10447	118
31586	87
9300	93
9559	138
9800	125
713	121
8291	109
18133	112
25557	109
22588	108
10872	97
1245	134
11858	128
7007	125
10467	118
5550	104
8005	104
2088	100
10412	94
47889	114
14534	114
56583	99
41878	126
424	195
35233	101
14291	110
103413	105
11236	102
11592	95
8850	108
10445	131
695	187
43535	106
12519	98
23210	112
858	105
867	108
78	117
13203	95
346225	99
333097	97
415633	84
429524	0
421126	85
104810	107
383743	98
365451	92
17229	60
75760	81
412669	0
279687	30
464111	23
385305	81
440597	90
433711	74
417870	122
419459	93
407448	143
414453	104
329005	76
213204	81
117800	124
384594	90
257059	104
412103	10
438665	116
437830	90
7014	104
411516	107
254689	180
101190	82
316437	99
85709	90
60378	150
403667	0
74464	95
459950	96
332543	0
128571	85
82029	80
33704	88
103344	95
68637	0
454774	102
433410	99
429039	0
45592	20
69483	99
423453	86
451955	110
70609	86
36886	88
36887	91
36885	97
12097	100
280640	107
66247	180
49074	145
47940	172
24049	185
28469	60
410554	97
96823	85
54559	4
390343	88
450875	114
56841	85
417320	111
104700	3
70573	0
407803	87
104702	1
49295	1
51507	140
265189	118
373247	90
458618	60
277839	100
454787	90
433471	6
69727	95
89606	60
467731	60
383216	53
76289	0
104308	86
206277	93
92108	90
36415	108
60153	89
245073	88
280477	93
154575	87
88844	81
182981	73
59958	105
432025	121
36391	105
87229	99
383618	79
10819	109
31856	70
358511	89
79343	0
155939	104
56350	87
25667	114
24768	95
190496	125
58133	95
139159	91
30019	95
78359	166
101801	88
36416	107
317736	0
168819	95
108331	0
291224	8
103462	65
38876	0
81318	76
152912	148
68802	88
80284	104
80831	121
180244	80
157320	0
167267	74
112531	94
81313	88
245394	67
190817	88
120831	81
364865	87
65507	0
43656	93
401408	53
366505	96
434166	102
212865	96
104704	3
435473	107
269981	51
183088	95
335251	0
430365	92
50977	83
395767	88
199887	87
248705	110
90063	80
37440	0
36139	87
43585	87
44918	90
63990	88
28669	91
188421	177
39164	100
3104	92
20776	90
24568	95
43085	89
100671	99
19307	88
270762	53
48959	0
214753	65
173874	60
71016	96
151506	87
43995	98
40467	93
449696	34
79927	96
21251	89
374764	0
460135	0
42247	95
426272	83
408624	110
413421	138
261871	90
91563	75
227143	80
432789	83
264269	90
182030	88
32388	89
434873	92
175461	12
175457	4
176298	3
184402	4
370213	91
99104	89
445126	86
401687	86
200066	95
273279	98
97797	123
149946	124
61385	154
468707	90
280422	0
38326	137
240789	110
293654	89
64197	97
102363	90
92771	94
98604	91
97672	86
100152	100
62757	100
61966	84
63281	107
70965	104
75608	84
275331	72
282308	0
461297	97
258907	4
127762	1
18098	175
52103	105
63898	91
174271	108
42652	270
143117	139
65416	99
365432	82
45029	97
36680	156
222872	0
257472	83
323132	45
5589	73
325439	93
63266	79
45527	92
455661	4
327237	111
84710	61
39562	89
14008	101
44330	3
49279	3
44333	3
49277	3
49271	6
44324	3
122036	2
14885	67
49280	1
106807	2
276895	58
404604	146
420346	79
67179	90
84419	65
390959	45
289923	30
222848	85
30840	104
439050	90
111109	360
67758	90
227506	87
461257	75
