Returned	Order ID
Yes	CA-2017-100762
Yes	CA-2017-100762
Yes	CA-2017-100762
Yes	CA-2017-100762
Yes	CA-2017-100867
Yes	CA-2017-102652
Yes	CA-2017-102652
Yes	CA-2017-102652
Yes	CA-2017-102652
Yes	CA-2017-103373
Yes	CA-2017-103744
Yes	CA-2017-103744
Yes	CA-2017-103940
Yes	CA-2017-103940
Yes	CA-2017-103940
Yes	CA-2017-103940
Yes	CA-2017-104829
Yes	CA-2017-105270
Yes	CA-2017-105270
Yes	CA-2017-108609
Yes	CA-2017-108861
Yes	CA-2017-109918
Yes	CA-2017-109918
Yes	CA-2017-109918
Yes	CA-2017-110786
Yes	CA-2017-110786
Yes	CA-2017-110786
Yes	CA-2017-110786
Yes	CA-2017-110786
Yes	CA-2017-110786
Yes	CA-2017-110786
Yes	CA-2017-111871
Yes	CA-2017-116785
Yes	CA-2017-116785
Yes	CA-2017-123225
Yes	CA-2017-123225
Yes	CA-2017-123253
Yes	CA-2017-123498
Yes	CA-2017-123498
Yes	CA-2017-124688
Yes	CA-2017-124688
Yes	CA-2017-124688
Yes	CA-2017-126361
Yes	CA-2017-126361
Yes	CA-2017-126361
Yes	CA-2017-126361
Yes	CA-2017-126361
Yes	CA-2017-126361
Yes	CA-2017-126403
Yes	CA-2017-126403
Yes	CA-2017-126403
Yes	CA-2017-126403
Yes	CA-2017-126522
Yes	CA-2017-127012
Yes	CA-2017-127012
Yes	CA-2017-127012
Yes	CA-2017-127131
Yes	CA-2017-127131
Yes	CA-2017-127131
Yes	CA-2017-127131
Yes	CA-2017-133690
Yes	CA-2017-133690
Yes	CA-2017-134726
Yes	CA-2017-134726
Yes	CA-2017-135657
Yes	CA-2017-135699
Yes	CA-2017-135699
Yes	CA-2017-140816
Yes	CA-2017-141726
Yes	CA-2017-141726
Yes	CA-2017-141726
Yes	CA-2017-141726
Yes	CA-2017-142769
Yes	CA-2017-142769
Yes	CA-2017-142769
Yes	CA-2017-142769
Yes	CA-2017-142769
Yes	CA-2017-142769
Yes	CA-2017-142769
Yes	CA-2017-142769
Yes	CA-2017-143336
Yes	CA-2017-143336
Yes	CA-2017-143336
Yes	CA-2017-143840
Yes	CA-2017-143840
Yes	CA-2017-148614
Yes	CA-2017-148614
Yes	CA-2017-148950
Yes	CA-2017-148950
Yes	CA-2017-148950
Yes	CA-2017-151162
Yes	CA-2017-151162
Yes	CA-2017-151162
Yes	CA-2017-151162
Yes	CA-2017-151162
Yes	CA-2017-152345
Yes	CA-2017-152345
Yes	CA-2017-153150
Yes	CA-2017-156349
Yes	CA-2017-156349
Yes	CA-2017-156349
Yes	CA-2017-157924
Yes	CA-2017-157924
Yes	CA-2017-159338
Yes	CA-2017-160766
Yes	CA-2017-160766
Yes	CA-2017-160766
Yes	CA-2017-160766
Yes	CA-2017-160766
Yes	CA-2017-160766
Yes	CA-2017-160766
Yes	CA-2017-160773
Yes	CA-2017-160773
Yes	CA-2017-164721
Yes	CA-2017-164721
Yes	CA-2017-164721
Yes	CA-2017-164861
Yes	CA-2017-166744
Yes	CA-2017-166744
Yes	CA-2017-166744
Yes	CA-2017-169019
Yes	CA-2017-169019
Yes	CA-2017-169019
Yes	CA-2017-169019
Yes	CA-2017-169019
Yes	CA-2017-169019
Yes	CA-2018-101910
Yes	CA-2018-103716
Yes	CA-2018-103716
Yes	CA-2018-104129
Yes	CA-2018-104129
Yes	CA-2018-105158
Yes	CA-2018-105158
Yes	CA-2018-107678
Yes	CA-2018-107678
Yes	CA-2018-107678
Yes	CA-2018-107678
Yes	CA-2018-109736
Yes	CA-2018-110814
Yes	CA-2018-110814
Yes	CA-2018-110814
Yes	CA-2018-111948
Yes	CA-2018-111948
Yes	CA-2018-112144
Yes	CA-2018-112144
Yes	CA-2018-113628
Yes	CA-2018-113628
Yes	CA-2018-113628
Yes	CA-2018-113628
Yes	CA-2018-113628
Yes	CA-2018-113628
Yes	CA-2018-114048
Yes	CA-2018-116092
Yes	CA-2018-116092
Yes	CA-2018-116092
Yes	CA-2018-116092
Yes	CA-2018-116092
Yes	CA-2018-119214
Yes	CA-2018-119214
Yes	CA-2018-119907
Yes	CA-2018-123568
Yes	CA-2018-123568
Yes	CA-2018-123568
Yes	CA-2018-123568
Yes	CA-2018-124058
Yes	CA-2018-124058
Yes	CA-2018-130456
Yes	CA-2018-130456
Yes	CA-2018-130785
Yes	CA-2018-130785
Yes	CA-2018-130785
Yes	CA-2018-132374
Yes	CA-2018-132941
Yes	CA-2018-132941
Yes	CA-2018-132941
Yes	CA-2018-134075
Yes	CA-2018-134075
Yes	CA-2018-134201
Yes	CA-2018-134201
Yes	CA-2018-135580
Yes	CA-2018-135580
Yes	CA-2018-135580
Yes	CA-2018-135580
Yes	CA-2018-135580
Yes	CA-2018-138674
Yes	CA-2018-138674
Yes	CA-2018-138674
Yes	CA-2018-139731
Yes	CA-2018-139731
Yes	CA-2018-140984
Yes	CA-2018-140984
Yes	CA-2018-140984
Yes	CA-2018-141593
Yes	CA-2018-141593
Yes	CA-2018-141593
Yes	CA-2018-141593
Yes	CA-2018-142601
Yes	CA-2018-142601
Yes	CA-2018-143238
Yes	CA-2018-143490
Yes	CA-2018-143490
Yes	CA-2018-143602
Yes	CA-2018-144267
Yes	CA-2018-144267
Yes	CA-2018-144267
Yes	CA-2018-144267
Yes	CA-2018-146255
Yes	CA-2018-146255
Yes	CA-2018-146255
Yes	CA-2018-146255
Yes	CA-2018-146262
Yes	CA-2018-146262
Yes	CA-2018-146262
Yes	CA-2018-146262
Yes	CA-2018-146262
Yes	CA-2018-146486
Yes	CA-2018-146486
Yes	CA-2018-146486
Yes	CA-2018-146486
Yes	CA-2018-148873
Yes	CA-2018-148873
Yes	CA-2018-149342
Yes	CA-2018-149342
Yes	CA-2018-149342
Yes	CA-2018-149636
Yes	CA-2018-149636
Yes	CA-2018-149650
Yes	CA-2018-150770
Yes	CA-2018-150770
Yes	CA-2018-150770
Yes	CA-2018-150770
Yes	CA-2018-150875
Yes	CA-2018-150875
Yes	CA-2018-151547
Yes	CA-2018-153220
Yes	CA-2018-154970
Yes	CA-2018-155761
Yes	CA-2018-155761
Yes	CA-2018-156440
Yes	CA-2018-157770
Yes	CA-2018-157770
Yes	CA-2018-157770
Yes	CA-2018-157770
Yes	CA-2018-157812
Yes	CA-2018-157812
Yes	CA-2018-157812
Yes	CA-2018-161627
Yes	CA-2018-162166
Yes	CA-2018-162166
Yes	CA-2018-164882
Yes	CA-2018-164882
Yes	CA-2018-164882
Yes	CA-2018-164882
Yes	CA-2018-164882
Yes	CA-2018-164882
Yes	CA-2018-164882
Yes	CA-2018-164882
Yes	CA-2018-164882
Yes	CA-2018-168480
Yes	CA-2018-168480
Yes	CA-2018-168564
Yes	CA-2018-168564
Yes	CA-2018-168564
Yes	CA-2018-169397
Yes	CA-2018-169397
Yes	CA-2018-169397
Yes	CA-2018-169397
Yes	CA-2018-169397
Yes	CA-2018-169397
Yes	CA-2019-104689
Yes	CA-2019-105081
Yes	CA-2019-105081
Yes	CA-2019-105291
Yes	CA-2019-105585
Yes	CA-2019-105585
Yes	CA-2019-106950
Yes	CA-2019-106950
Yes	CA-2019-106950
Yes	CA-2019-106950
Yes	CA-2019-106950
Yes	CA-2019-106950
Yes	CA-2019-109806
Yes	CA-2019-109806
Yes	CA-2019-109806
Yes	CA-2019-109869
Yes	CA-2019-109869
Yes	CA-2019-109869
Yes	CA-2019-109869
Yes	CA-2019-109869
Yes	CA-2019-111682
Yes	CA-2019-111682
Yes	CA-2019-111682
Yes	CA-2019-111682
Yes	CA-2019-111682
Yes	CA-2019-111682
Yes	CA-2019-111682
Yes	CA-2019-112123
Yes	CA-2019-112123
Yes	CA-2019-112123
Yes	CA-2019-112340
Yes	CA-2019-113341
Yes	CA-2019-114307
Yes	CA-2019-114307
Yes	CA-2019-114307
Yes	CA-2019-114307
Yes	CA-2019-114727
Yes	CA-2019-114727
Yes	CA-2019-114727
Yes	CA-2019-114727
Yes	CA-2019-114727
Yes	CA-2019-115917
Yes	CA-2019-115917
Yes	CA-2019-116547
Yes	CA-2019-116547
Yes	CA-2019-116736
Yes	CA-2019-116736
Yes	CA-2019-116736
Yes	CA-2019-118311
Yes	CA-2019-118500
Yes	CA-2019-118899
Yes	CA-2019-120873
Yes	CA-2019-123526
Yes	CA-2019-124527
Yes	CA-2019-126529
Yes	CA-2019-126529
Yes	CA-2019-126529
Yes	CA-2019-126732
Yes	CA-2019-126732
Yes	CA-2019-126732
Yes	CA-2019-126732
Yes	CA-2019-126732
Yes	CA-2019-126732
Yes	CA-2019-128671
Yes	CA-2019-128671
Yes	CA-2019-128671
Yes	CA-2019-130477
Yes	CA-2019-130477
Yes	CA-2019-130477
Yes	CA-2019-130638
Yes	CA-2019-130638
Yes	CA-2019-130680
Yes	CA-2019-133319
Yes	CA-2019-133368
Yes	CA-2019-133368
Yes	CA-2019-133802
Yes	CA-2019-134775
Yes	CA-2019-134775
Yes	CA-2019-134803
Yes	CA-2019-134803
Yes	CA-2019-134803
Yes	CA-2019-134803
Yes	CA-2019-134803
Yes	CA-2019-136483
Yes	CA-2019-136924
Yes	CA-2019-138282
Yes	CA-2019-139269
Yes	CA-2019-139269
Yes	CA-2019-139269
Yes	CA-2019-142398
Yes	CA-2019-142398
Yes	CA-2019-145261
Yes	CA-2019-145261
Yes	CA-2019-145261
Yes	CA-2019-145261
Yes	CA-2019-145261
Yes	CA-2019-145261
Yes	CA-2019-145261
Yes	CA-2019-145492
Yes	CA-2019-145583
Yes	CA-2019-145583
Yes	CA-2019-145583
Yes	CA-2019-145583
Yes	CA-2019-145583
Yes	CA-2019-145583
Yes	CA-2019-145583
Yes	CA-2019-145919
Yes	CA-2019-145919
Yes	CA-2019-145919
Yes	CA-2019-145982
Yes	CA-2019-145982
Yes	CA-2019-145982
Yes	CA-2019-145982
Yes	CA-2019-145982
Yes	CA-2019-145982
Yes	CA-2019-147375
Yes	CA-2019-147375
Yes	CA-2019-148796
Yes	CA-2019-150077
Yes	CA-2019-151323
Yes	CA-2019-151372
Yes	CA-2019-151372
Yes	CA-2019-151372
Yes	CA-2019-152814
Yes	CA-2019-157280
Yes	CA-2019-157280
Yes	CA-2019-157280
Yes	CA-2019-159023
Yes	CA-2019-159023
Yes	CA-2019-159212
Yes	CA-2019-159212
Yes	CA-2019-159345
Yes	CA-2019-161746
Yes	CA-2019-161746
Yes	CA-2019-161746
Yes	CA-2019-161746
Yes	CA-2019-162138
Yes	CA-2019-162138
Yes	CA-2019-162159
Yes	CA-2019-165330
Yes	CA-2019-165330
Yes	CA-2019-165330
Yes	CA-2019-165330
Yes	CA-2019-165330
Yes	CA-2019-165330
Yes	CA-2019-165330
Yes	CA-2019-165330
Yes	CA-2019-165330
Yes	CA-2019-165330
Yes	CA-2019-165330
Yes	CA-2019-166275
Yes	CA-2019-167759
Yes	CA-2019-168921
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-100111
Yes	CA-2020-101273
Yes	CA-2020-101574
Yes	CA-2020-101700
Yes	CA-2020-101700
Yes	CA-2020-101805
Yes	CA-2020-101805
Yes	CA-2020-101805
Yes	CA-2020-102519
Yes	CA-2020-102519
Yes	CA-2020-103380
Yes	CA-2020-103380
Yes	CA-2020-103380
Yes	CA-2020-103380
Yes	CA-2020-103380
Yes	CA-2020-107825
Yes	CA-2020-107825
Yes	CA-2020-107825
Yes	CA-2020-107825
Yes	CA-2020-108294
Yes	CA-2020-108931
Yes	CA-2020-108931
Yes	CA-2020-109085
Yes	CA-2020-109085
Yes	CA-2020-109085
Yes	CA-2020-109085
Yes	CA-2020-109085
Yes	CA-2020-111556
Yes	CA-2020-111556
Yes	CA-2020-111556
Yes	CA-2020-111556
Yes	CA-2020-112725
Yes	CA-2020-112725
Yes	CA-2020-112725
Yes	CA-2020-112753
Yes	CA-2020-112753
Yes	CA-2020-112865
Yes	CA-2020-113670
Yes	CA-2020-113670
Yes	CA-2020-115427
Yes	CA-2020-115427
Yes	CA-2020-115994
Yes	CA-2020-115994
Yes	CA-2020-117212
Yes	CA-2020-117212
Yes	CA-2020-117212
Yes	CA-2020-117212
Yes	CA-2020-117212
Yes	CA-2020-117513
Yes	CA-2020-117926
Yes	CA-2020-118122
Yes	CA-2020-118542
Yes	CA-2020-118542
Yes	CA-2020-119284
Yes	CA-2020-119284
Yes	CA-2020-119284
Yes	CA-2020-119284
Yes	CA-2020-119284
Yes	CA-2020-119284
Yes	CA-2020-119284
Yes	CA-2020-121258
Yes	CA-2020-121258
Yes	CA-2020-121258
Yes	CA-2020-121853
Yes	CA-2020-121853
Yes	CA-2020-121853
Yes	CA-2020-122007
Yes	CA-2020-122504
Yes	CA-2020-122504
Yes	CA-2020-123085
Yes	CA-2020-123085
Yes	CA-2020-123491
Yes	CA-2020-123491
Yes	CA-2020-123491
Yes	CA-2020-123491
Yes	CA-2020-123491
Yes	CA-2020-123491
Yes	CA-2020-124401
Yes	CA-2020-124401
Yes	CA-2020-127306
Yes	CA-2020-127306
Yes	CA-2020-127306
Yes	CA-2020-127306
Yes	CA-2020-127306
Yes	CA-2020-128965
Yes	CA-2020-128965
Yes	CA-2020-128965
Yes	CA-2020-128965
Yes	CA-2020-128965
Yes	CA-2020-128965
Yes	CA-2020-129707
Yes	CA-2020-130631
Yes	CA-2020-130631
Yes	CA-2020-131492
Yes	CA-2020-131492
Yes	CA-2020-131492
Yes	CA-2020-131492
Yes	CA-2020-131618
Yes	CA-2020-131618
Yes	CA-2020-131618
Yes	CA-2020-131807
Yes	CA-2020-131807
Yes	CA-2020-131807
Yes	CA-2020-131807
Yes	CA-2020-131807
Yes	CA-2020-131807
Yes	CA-2020-131828
Yes	CA-2020-131828
Yes	CA-2020-132346
Yes	CA-2020-134194
Yes	CA-2020-134194
Yes	CA-2020-134194
Yes	CA-2020-134194
Yes	CA-2020-134194
Yes	CA-2020-135692
Yes	CA-2020-135692
Yes	CA-2020-136308
Yes	CA-2020-136539
Yes	CA-2020-136539
Yes	CA-2020-136651
Yes	CA-2020-136651
Yes	CA-2020-136651
Yes	CA-2020-137085
Yes	CA-2020-137099
Yes	CA-2020-137414
Yes	CA-2020-137414
Yes	CA-2020-137428
Yes	CA-2020-137428
Yes	CA-2020-137428
Yes	CA-2020-137428
Yes	CA-2020-138163
Yes	CA-2020-140053
Yes	CA-2020-140151
Yes	CA-2020-140151
Yes	CA-2020-140151
Yes	CA-2020-140186
Yes	CA-2020-140186
Yes	CA-2020-140186
Yes	CA-2020-140186
Yes	CA-2020-140186
Yes	CA-2020-140585
Yes	CA-2020-140585
Yes	CA-2020-140585
Yes	CA-2020-140963
Yes	CA-2020-140963
Yes	CA-2020-140963
Yes	CA-2020-141929
Yes	CA-2020-141929
Yes	CA-2020-141929
Yes	CA-2020-142328
Yes	CA-2020-142342
Yes	CA-2020-142342
Yes	CA-2020-142342
Yes	CA-2020-142342
Yes	CA-2020-142867
Yes	CA-2020-142867
Yes	CA-2020-142888
Yes	CA-2020-143084
Yes	CA-2020-143084
Yes	CA-2020-144064
Yes	CA-2020-144064
Yes	CA-2020-144064
Yes	CA-2020-145128
Yes	CA-2020-145772
Yes	CA-2020-145772
Yes	CA-2020-145772
Yes	CA-2020-147452
Yes	CA-2020-147452
Yes	CA-2020-147452
Yes	CA-2020-150609
Yes	CA-2020-150910
Yes	CA-2020-150910
Yes	CA-2020-150910
Yes	CA-2020-150910
Yes	CA-2020-150910
Yes	CA-2020-152660
Yes	CA-2020-153822
Yes	CA-2020-153822
Yes	CA-2020-153822
Yes	CA-2020-153822
Yes	CA-2020-154074
Yes	CA-2020-154074
Yes	CA-2020-154214
Yes	CA-2020-154949
Yes	CA-2020-155712
Yes	CA-2020-156391
Yes	CA-2020-156958
Yes	CA-2020-156958
Yes	CA-2020-156958
Yes	CA-2020-156958
Yes	CA-2020-156958
Yes	CA-2020-157196
Yes	CA-2020-158729
Yes	CA-2020-159954
Yes	CA-2020-161459
Yes	CA-2020-161459
Yes	CA-2020-161557
Yes	CA-2020-161956
Yes	CA-2020-161956
Yes	CA-2020-161956
Yes	CA-2020-161956
Yes	CA-2020-161956
Yes	CA-2020-161956
Yes	CA-2020-161956
Yes	CA-2020-161956
Yes	CA-2020-162015
Yes	CA-2020-162015
Yes	CA-2020-165008
Yes	CA-2020-165491
Yes	CA-2020-166093
Yes	CA-2020-166093
Yes	CA-2020-166093
Yes	CA-2020-166093
Yes	CA-2020-166093
Yes	CA-2020-166093
Yes	CA-2020-166093
Yes	CA-2020-166142
Yes	CA-2020-166142
Yes	CA-2020-166898
Yes	CA-2020-166898
Yes	CA-2020-167003
Yes	CA-2020-167395
Yes	CA-2020-167395
Yes	CA-2020-167395
Yes	CA-2020-168193
Yes	CA-2020-168193
Yes	CA-2020-169327
Yes	CA-2020-169327
Yes	CA-2020-169327
Yes	CA-2020-169859
Yes	CA-2020-169859
Yes	CA-2020-169859
Yes	CA-2020-169894
Yes	CA-2020-169894
Yes	US-2017-105137
Yes	US-2017-105137
Yes	US-2017-138758
Yes	US-2017-138758
Yes	US-2017-140452
Yes	US-2017-140452
Yes	US-2017-140452
Yes	US-2017-140452
Yes	US-2017-140452
Yes	US-2017-140452
Yes	US-2017-143287
Yes	US-2017-143287
Yes	US-2017-143287
Yes	US-2017-150574
Yes	US-2017-150574
Yes	US-2017-164406
Yes	US-2017-164406
Yes	US-2017-164406
Yes	US-2017-164406
Yes	US-2017-164406
Yes	US-2017-164763
